title,link,watched
Урок 128. Соударения тел,https://www.youtube.com/watch?v=h86255t-N3U&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=131,Yes
Урок 129. Частные случаи абсолютно упругого центрального соударения,https://www.youtube.com/watch?v=jkWksLhmW1g&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=132,Yes
"Урок 130. Задачи на работу, мощность, КПД (ч.1)",https://www.youtube.com/watch?v=yoN7Gv76peM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=133,Yes
"Урок 131. Задачи на работу, мощность, КПД (ч.2)",https://www.youtube.com/watch?v=ocVF0QrTRzo&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=134,Yes
Урок 132. Основные понятия гидродинамики. Уравнение непрерывности,https://www.youtube.com/watch?v=Aw6XuL_xywY&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=135,No
Урок 133. Закон Бернулли. Уравнение Бернулли,https://www.youtube.com/watch?v=nz23fuDr2lE&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=136,No
Урок 134. Применения уравнения Бернулли (ч.1),https://www.youtube.com/watch?v=qiwK96vv62s&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=137,No
Урок 135. Применения ур-ния Бернулли (ч.2). Подъемная сила крыла самолета (ч.1),https://www.youtube.com/watch?v=35sCV8VOE8c&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=138,No
Урок 136. Подъемная сила крыла самолета (часть 2),https://www.youtube.com/watch?v=POXjCXLH458&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=139,No
Урок 137. Движение тела в жидкости и газе.,https://www.youtube.com/watch?v=YDA5XerGFw0&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=140,No
Урок 138. Число Рейнольдса. Критерий Рейнольдса.,https://www.youtube.com/watch?v=olAUvajJ3-s&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=141,No
Урок 139. Основные положения МКТ.,https://www.youtube.com/watch?v=pn_RnNGKsKU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=142,No
Урок 140. Опыт Перрена. Масса молекул. Взаимодействие молекул,https://www.youtube.com/watch?v=Mf70v5NlMMo&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=143,No
Урок 141. Количество вещества. Молярная масса. Оценка размеров молекул,https://www.youtube.com/watch?v=xFtZhMjp8JY&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=144,No
Урок 142. Простейшие задачи на вычисление числа и массы молекул,https://www.youtube.com/watch?v=lZXHa4QpDnk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=145,No
Урок 143. Задачи на вычисление числа и массы молекул,https://www.youtube.com/watch?v=yHB1aNptsL8&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=146,No
Урок 144. Решение экспериментальных задач,https://www.youtube.com/watch?v=Xn1V5PpWN2M&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=147,No
Урок 145. Идеальный газ. Основное ур-ние МКТ ид. газа - 1,https://www.youtube.com/watch?v=c_CnPH8vVBE&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=148,No
Урок 146. Основное уравнение МКТ идеального газа - 2,https://www.youtube.com/watch?v=ZBJrZGI5RDw&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=149,No
